105 | Убийство ругание пальчиком
285.6 | Отказ или уклонение должностного лица, подвергнутого административному наказанию, от заключения государственного контракта по государственному оборонному заказу либо договора, необходимого для выполнения государственного оборонного заказа | штраф в размере 42 000₽
286 | Превышение должностных полномочий | лишение бубенцов
286.1 | Неисполнение сотрудником органа внутренних дел приказа | предупреждение
287 | Отказ в предоставлении информации Федеральному Собранию Российской Федерации или Счетной палате Российской Федерации | ругание пальчиком
288 | Присвоение полномочий должностного лица | групповой фистинг
289 | Незаконное участие в предпринимательской деятельности | исправительные работы на 1 год
290 | Получение взятки | исправительные работы на 1 час
291 | Дача взятки | смертная казнь
291.1 | Посредничество во взяточничестве | исправительные работы на 2 года
291.2 | Мелкое взяточничество | лишение государственных наград
292 | Служебный подлог | исправительные работы на 4 года
292.1 | Незаконная выдача паспорта гражданина Российской Федерации, а равно внесение заведомо ложных сведений в документы, повлекшее незаконное приобретение гражданства Российской Федерации | лишение бубенцов
293 | Халатность | призыв на СВО
294 | Воспрепятствование осуществлению правосудия и производству предварительного расследования | исправительные работы на 4 года
295 | Посягательство на жизнь лица, осуществляющего правосудие или предварительное расследование | смертная казнь
296 | Угроза или насильственные действия в связи с осуществлением правосудия или производством предварительного расследования | смертная казнь
297 | Неуважение к суду | исправительные работы на 1 день
298.1 | Клевета в отношении судьи, присяжного заседателя, прокурора, следователя, лица, производящего дознание, сотрудника органов принудительного исполнения Российской Федерации | штраф в размере 67 000₽
299 | Привлечение заведомо невиновного к уголовной ответственности или незаконное возбуждение уголовного дела | ругание пальчиком
300 | Незаконное освобождение от уголовной ответственности | увольнение с работы
301 | Незаконные задержание, заключение под стражу или содержание под стражей | лишение государственных наград
302 | Принуждение к даче показаний | групповой фистинг
303 | Фальсификация доказательств и результатов оперативно-разыскной деятельности | исправительные работы на 6 месяцев
304 | Провокация взятки, коммерческого подкупа либо подкупа в сфере закупок товаров, работ, услуг для обеспечения государственных или муниципальных нужд | увольнение с работы
305 | Вынесение заведомо неправосудных приговора, решения или иного судебного акта | штраф в размере 52 000₽
306 | Заведомо ложный донос | секс без обязательств
307 | Заведомо ложные показание, заключение эксперта, специалиста или неправильный перевод | исправительные работы на 3 года
308 | Отказ свидетеля или потерпевшего от дачи показаний | смертная казнь
309 | Подкуп или принуждение к даче показаний или уклонению от дачи показаний либо к неправильному переводу | лишение свободы на 17 лет
310 | Разглашение данных предварительного расследования | призыв на СВО
311 | Разглашение сведений о мерах безопасности, применяемых в отношении судьи и участников уголовного процесса | секс без обязательств
312 | Незаконные действия в отношении имущества, подвергнутого описи или аресту либо подлежащего конфискации | смертная казнь
313 | Побег из места лишения свободы, из-под ареста или из-под стражи | штраф в размере 24 000₽
314 | Уклонение от отбывания ограничения свободы, лишения свободы, а также от применения принудительных мер медицинского характера | буллинг
314.1 | Уклонение от административного надзора или неоднократное несоблюдение установленных судом в соответствии с федеральным законом ограничения или ограничений | лишение государственных наград
315 | Неисполнение приговора суда, решения суда или иного судебного акта | групповой фистинг
316 | Укрывательство преступлений | лишение свободы на 11 лет
317 | Посягательство на жизнь сотрудника правоохранительного органа | пожизненное заключение
318 | Применение насилия в отношении представителя власти | исправительные работы на 1 день
319 | Оскорбление представителя власти | смертная казнь
320 | Разглашение сведений о мерах безопасности, применяемых в отношении должностного лица правоохранительного или контролирующего органа | штраф в размере 18 000₽
321 | Дезорганизация деятельности учреждений, обеспечивающих изоляцию от общества | штраф в размере 46 000₽
321.1 | Передача лицу, содержащемуся в учреждении уголовно-исполнительной системы или месте содержания под стражей, средств мобильной связи и иных средств коммуникации лицом, подвергнутым административному наказанию или имеющим судимость | лишение государственных наград
322 | Незаконное пересечение Государственной границы Российской Федерации | лишение бубенцов
322.1 | Организация незаконной миграции | исправительные работы на 2 года
322.2 | Фиктивная регистрация гражданина Российской Федерации по месту пребывания или по месту жительства в жилом помещении в Российской Федерации и фиктивная регистрация иностранного гражданина или лица без гражданства по месту жительства в жилом помещении в Российской Федерации | порвать анус
322.3 | Фиктивная постановка на учет иностранного гражданина или лица без гражданства по месту пребывания в Российской Федерации | лишение государственных наград
323 | Противоправное изменение Государственной границы Российской Федерации | исправительные работы на 1 год
324 | Приобретение или сбыт официальных документов и государственных наград | штраф в размере 89 000₽
325 | Похищение или повреждение документов, штампов, печатей либо похищение акцизных марок, специальных марок или знаков соответствия | исправительные работы на 4 года
325.1 | Неправомерное завладение государственным регистрационным знаком транспортного средства | запрет на использование компьютера
326 | Подделка или уничтожение идентификационного номера транспортного средства | смертная казнь
327 | Подделка, изготовление или оборот поддельных документов, государственных наград, штампов, печатей или бланков | лишение бубенцов
327.1 | Изготовление, сбыт поддельных акцизных марок, специальных марок или знаков соответствия либо их использование | пожизненное заключение
327.2 | Подделка документов на лекарственные средства или медицинские изделия или упаковки лекарственных средств или медицинских изделий | порвать анус
328 | Уклонение от прохождения военной и альтернативной гражданской службы | лишение свободы на 1 год
329 | Надругательство над Государственным гербом Российской Федерации или Государственным флагом Российской Федерации | запрет на использование компьютера
330 | Самоуправство | групповой фистинг
330.1 | Уклонение от исполнения обязанностей, предусмотренных законодательством Российской Федерации об иностранных агентах | штраф в размере 77 000₽
330.2 | Неисполнение обязанности по подаче уведомления о наличии у гражданина Российской Федерации гражданства (подданства) иностранного государства либо вида на жительство или иного действительного документа, подтверждающего право на его постоянное проживание в иностранном государстве | порвать анус
330.3 | Осуществление деятельности на территории Российской Федерации иностранной или международной некоммерческой неправительственной организации, сведения о структурных подразделениях которой отсутствуют в реестре филиалов и представительств международных организаций и иностранных некоммерческих неправительственных организаций или которая не имеет зарегистрированного в порядке, предусмотренном законодательством Российской Федерации о некоммерческих организациях, структурного подразделения - отделения | ругание пальчиком
331 | Понятие преступлений против военной службы | исправительные работы на 1 час
332 | Неисполнение приказа | смертная казнь
333 | Сопротивление начальнику или принуждение его к нарушению обязанностей военной службы | буллинг
334 | Насильственные действия в отношении начальника | призыв на СВО
335 | Нарушение уставных правил взаимоотношений между военнослужащими при отсутствии между ними отношений подчиненности | исправительные работы на 4 года
336 | Оскорбление военнослужащего | пожизненное заключение
337 | Самовольное оставление части или места службы | штраф в размере 75 000₽
338 | Дезертирство | исправительные работы на 1 день
339 | Уклонение от исполнения обязанностей военной службы путем симуляции болезни или иными способами | увольнение с работы
340 | Нарушение правил несения боевого дежурства | ругание пальчиком
341 | Нарушение правил несения пограничной службы | смертная казнь
342 | Нарушение уставных правил караульной службы | лишение бубенцов
343 | Нарушение правил несения службы по охране общественного порядка и обеспечению общественной безопасности | исправительные работы на 6 месяцев
344 | Нарушение уставных правил несения внутренней службы и патрулирования в гарнизоне | исправительные работы на 4 года
345 | Оставление погибающего военного корабля | призыв на СВО
346 | Умышленные уничтожение или повреждение военного имущества | исправительные работы на 1 день
347 | Уничтожение или повреждение военного имущества по неосторожности | штраф в размере 38 000₽
348 | Утрата военного имущества | порвать анус
349 | Нарушение правил обращения с оружием и предметами, представляющими повышенную опасность для окружающих | штраф в размере 87 000₽
350 | Нарушение правил вождения или эксплуатации машин | предупреждение
351 | Нарушение правил полетов или подготовки к ним | порвать анус
352 | Нарушение правил кораблевождения | буллинг
352.1 | Добровольная сдача в плен | исправительные работы на 3 года
353 | Планирование, подготовка, развязывание или ведение агрессивной войны | групповой фистинг
354 | Публичные призывы к развязыванию агрессивной войны | штраф в размере 9 000₽
354.1 | Реабилитация нацизма | штраф в размере 61 000₽
355 | Разработка, производство, накопление, приобретение или сбыт оружия массового поражения | лишение бубенцов
356 | Применение запрещенных средств и методов ведения войны | штраф в размере 42 000₽
356.1 | Мародерство | ограничение свободы на 5 лет
357 | Геноцид | штраф в размере 96 000₽
358 | Экоцид | групповой фистинг
359 | Наемничество | смертная казнь
360 | Нападение на лиц или учреждения, которые пользуются международной защитой, либо угроза его совершения | пожизненное заключение
361 | Акт международного терроризма | лишение бубенцов
